ts,profile,equity
1775658134354,ideal,-0.02076408390249
1775658134354,good,-0.020753699783715
1775658134354,realistic,-0.020737085193675
1775658134354,bad,-0.020695548718575
1775658134354,ideal,-0.13493465642025
1775658134354,good,-0.134867175595875
1775658134354,realistic,-0.134759206276875
1775658134354,bad,-0.134489282979375
1775658198942,ideal,-0.26978422991049
1775658198942,good,-0.269649310811715
1775658198942,realistic,-0.269433440253675
1775658198942,bad,-0.268893763858575
1775658198942,ideal,-0.41762583647433
1775658198942,good,-0.417416981785155
1775658198942,realistic,-0.417082814282475
1775658198942,bad,-0.416247395525775
1775658198942,ideal,-0.52128312536943
1775658198942,good,-0.521022431668005
1775658198942,realistic,-0.520605321745725
1775658198942,bad,-0.519562546940025
1775658198942,ideal,-0.53946740148669
1775658198942,good,-0.539197613828415
1775658198942,realistic,-0.538765953575175
1775658198942,bad,-0.537686802942075
1775658839894,ideal,-0.0258479134651060630198996266
1775658839894,good,-0.626474418945869662708327433
1775658839894,realistic,-1.587476827715091422209811377
1775658839894,bad,-3.989982849638145820963522602
1775658839894,ideal,0.138477149856050920019987457
1775658839894,good,-0.6387362630612605677375741404
1775658839894,realistic,-1.88227772372895894814967199
1775658839894,bad,-4.991131375398204899179918379
1775658839894,ideal,0.2236277468606099999999997715
1775658839894,good,-0.674682685862865000000000334
1775658839894,realistic,-2.111979378220424999999999686
1775658839894,bad,-5.705221109114325000000000108
1775659045415,ideal,0.2668045510457318879118548415
1775659045415,good,-0.6357411620634128069710777786
1775659045415,realistic,-2.079814303038044318783769153
1775659045415,bad,-5.689997155474623098315499631
1775659045415,ideal,3.265014722258859999999999816
1775659045415,good,2.068369874906009999999999667
1775659045415,realistic,0.153738119141450000000000305
1775659045415,bad,-4.632841270269950000000000098
1775659131331,ideal,3.169031747093979999999999816
1775659131331,good,1.972434900828929999999999667
1775659131331,realistic,0.057879946804850000000000305
1775659131331,bad,-4.728507438255350000000000098
1775659131331,ideal,3.048053412251049999999999816
1775659131331,good,1.851517067253674999999999667
1775659131331,realistic,-0.062941084742124999999999695
1775659131331,bad,-4.849086464731625000000000098
1775659131331,ideal,2.910724442339289999999999816
1775659131331,good,1.714256775562514999999999667
