ts,profile,equity
1775658355106,ideal,-0.0180043246449
1775658355106,good,-0.01801332500715
1775658355106,realistic,-0.01802772558675
1775658355106,bad,-0.01806372703575
1775697661407,ideal,-0.1529864353224
1775697661407,good,-0.1529279311284
1775697661407,realistic,-0.152834324418
1775697661407,bad,-0.152600307642
1775713838493,ideal,-1.7031093570936
1775713838493,good,-2.0037860173276
1775713838493,realistic,-2.484868673702
1775713838493,bad,-3.687575314638
1775713838493,ideal,-1.9334900300148
1775713838493,good,-2.2342818575518
1775713838493,realistic,-2.715548781611
1775713838493,bad,-3.918716091759
1775713847766,ideal,-2.5574462685172
1775713847766,good,-3.4032099723102
1775713847766,realistic,-4.756431898379
1775713847766,bad,-8.139486713551
1775713875377,ideal,-3.1156208337727
1775713875377,good,-3.96110539445445
1775713875377,realistic,-5.31388069154525
1775713875377,bad,-8.69581893427225
1775713875377,ideal,-3.2183401098079
1775713875377,good,-4.06377330057765
1775713875377,realistic,-5.41646640580925
1775713875377,bad,-8.79819916888825
1775713889716,ideal,-4.360694031664099999999999877
1775713889716,good,-6.675351324574350000000000036
1775713889716,realistic,-10.37880299323074999999999998
1775713889716,bad,-19.63743216487174999999999986
1775713889716,ideal,-4.361388286487299999999999877
1775713889716,good,-6.676045926455550000000000036
1775713889716,realistic,-10.37949815040474999999999998
1775713889716,bad,-19.63812871027774999999999986
1775733281416,ideal,-5.822713922210499999999999877
1775733281416,good,-8.392539111486750000000000036
1775733281416,realistic,-12.50425941432874999999999998
1775733281416,bad,-22.78356017143374999999999986
1775733294904,ideal,-6.281436974828599999999999877
1775733294904,good,-9.398408771900100000000000036
1775733294904,realistic,-14.38556364721449999999999998
1775733294904,bad,-26.85345083550049999999999986
