wallet,score,total_pnl,profit_factor,trades,timespan_hours,symbol_count
0x350e33a777d510616fbdb483d1de3b50d1edfcfb,-16.491,270929.21,2.72,7878,54.84,11
0x6ecbb68c07bd4be7adb7f0365e9263e382aeca2d,-16.906,9637.44,1.2,17784,322.47,202
0x83027df4f3f749a1f9dd8bbc976eee49653c1d72,-19.435,671.21,1.05,13476,146.22,20
0xb6bfa5b79c1f06d5cf21d21e00f25d8da9fcfdb1,-20.375,289.29,1.11,13161,125.38,2
0x034d4f0b00827e4ac77d910071377f707ddd23d3,-21.355,25176.35,1.22,24379,288.63,156
0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,-21.808,32707.15,1.05,24153,253.46,2
0x984e16e759ac515784f90dd88443260e482c63c1,-22.726,11747.86,1.15,17940,239.03,168
0xf05359fe3426248c3eb48ca9474160dc4510b99d,-22.891,723.57,1.19,12026,92.46,1
0x7a9d45682babd8a2d79181623c75a7f615990b27,-23.397,2836.93,1.45,11774,128.46,179
0x4389a0e25fb85d51ea9a144e2c50ef3d8bea7254,-23.62,1257.39,1.21,11067,128.27,181
0xd2ccf2ebc5be12ef15235ed6dd70d3ec84859541,-24.303,6602.64,1.2,12673,140.24,171
0xfad17af4900f3d3afa663103f58b41607ee45d70,-24.782,2002.56,1.31,11782,132.89,183
0xe477c31a2f1b7a9a91fbec5406893b67064521f8,-26.676,1010.28,1.15,11199,119.99,181
0x6c48fc6a1fb77121c7ccc818fa333f9c435f66ad,-26.76,250.38,1.06,10825,80.23,2
0x1700acdd94010de35087b45b601d0e1b90c2697f,-27.858,45185.63,2.98,13080,63.67,3
0x6beffb9bec3364ae579fa7cb864effefa7bf2695,-27.872,12816.94,1.31,21150,130.34,12
0x4264b5a132e4f263d6de2e0d01512a99ea21ec6e,-28.337,588.12,1.09,11199,125.79,181
0xcde682fc64f38967b71cfd00803d4ba3d60e49d1,-28.671,1476.81,1.1,13688,87.44,1
0x03488d119ff425c17521e1fb0fafaf97c69902f3,-28.821,958.46,1.14,11234,129.9,180
0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,-29.49,4284.98,1.15,18254,126.55,43
0x48b5c751c2d63ac9134ce31f8d3e08b6836f6ee0,-32.609,2713.94,1.09,11910,72.4,44
0xa4a6e0fd7528a6f5c6ccbb3240ba8a2f825446cf,-33.146,12394.63,1.38,12888,70.86,11
0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,-36.64,13473.49,1.12,12578,65.31,40
0x67f7aa8fb95c47e6ea9c517b623e0701cbf9d9ba,-36.692,2736.4,1.25,13408,66.63,1
0xfbb64f9fb18aa6bcf9fe1a2097b3b79435008113,-38.695,2881.36,1.22,14256,67.8,1
0x847bd1ef4fede0fe191129894d63044843f4d473,-45.796,1146.65,1.08,15751,65.18,1
0x9d1eb5f9121e78faa5455d1b51cbf1a0c6e8340c,-52.516,6075.2,1.39,12182,43.15,1
0xc1914d36f97dc5557e4df26cbdab98e9c988ef37,-64.202,15093.35,1.87,14256,41.91,62
0x170a03a53fe05bf4ce6753cb0907d05e827bc3c6,-76.86,637.53,1.1,14089,35.46,2
0x15094c3ec74e8a43c082042815e0c135deebb152,-95.169,10784.17,1.7,14995,30.26,42
0x2025137a136bea7446deba681cbfc7cf1970840e,-102.754,23837.26,1.41,14735,27.75,30
0xadcbc1f36213b15399e0497508c50a1cda7bf08f,-105.422,5882.86,3.01,11763,20.57,9
0x223537ac9a856c31f4043e86ced86bb29f06653e,-108.807,817.27,1.79,13129,23.18,13
0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,-115.822,67120.91,18.9,11252,12.75,20
0x348e5365acfa48a26ada7da840ca611e29c950ef,-124.851,15304.95,1.43,19871,30.86,31
0xb2b1d1a7a034d9209a627e754ebb8d24988ca23a,-157.264,440.57,1.06,12464,16.34,80
0x33ad48ed92e3e91a98278f0f7456eae6eafa516e,-158.795,2951.56,1.38,12700,16.0,76
0xa880d6cc607a05ea617307ab3b0d335e8d8424ee,-159.315,787.95,1.33,11908,14.7,14
0x1dd4af3383fce2ee4a40d9fb6766cbfcce2ddbce,-174.41,5965.07,1.53,17232,19.53,36
0x31dea2516beee92135b96f464eeec3cf292a13f2,-178.665,35047.59,2.97,12445,13.1,5
0x727956612a8700627451204a3ae26268bd1a1525,-182.112,654.86,1.38,13223,14.31,18
0x2a72b57dea119cc0bac14df798f9e9b8b148267c,-188.52,8504.27,1.15,14062,14.82,23
0xb4321b142b2a03ce20fcab2007ff6990b9acba93,-192.662,13556.82,1.33,16820,17.16,31
0xf36c562be0598b8ce109998b6aa2d53ffcd8316b,-212.28,8734.71,2.03,12807,11.95,73
